"34","Deathlok","Former member of the CIA, Project: Alpha-Mech, US Army, ally of Godwulfs Redeemers","https://www.superherodb.com/pictures2/portraits/10/100/1304.jpg","Marvel Comics","0",NULL,NULL
"35","Cyborg","Justice League; formerly Teen Titans, Titans, Titans East, New Teen Titans","https://www.superherodb.com/pictures2/portraits/10/100/1204.jpg","DC Comics","5",NULL,"2020-01-13 01:26:46"
"36","Gladiator","Galactic Council, Annihilators; formerly Imperial Guard; possibly Heralds of Galactus","https://www.superherodb.com/pictures2/portraits/10/100/1521.jpg","Marvel Comics","0",NULL,NULL
"37","Rogue","X-Men, formerly X-Treme Sanctions Executive, X-Treme X-Men, Brotherhood of Evil Mutants","https://www.superherodb.com/pictures2/portraits/10/100/831.jpg","Marvel Comics","-1",NULL,"2020-01-12 23:57:23"
"38","Master Brood","Team Epic","https://www.superherodb.com/pictures2/portraits/10/100/958.jpg","Team Epic TV","-1",NULL,"2020-01-12 23:56:42"
"39","Alex Mercer","Gentek, The Infected","https://www.superherodb.com/pictures2/portraits/10/100/10398.jpg","Wildstorm","8",NULL,NULL
"40","Sif","The Gods of Asgard","https://www.superherodb.com/pictures2/portraits/10/100/1533.jpg","Marvel Comics","1",NULL,"2020-01-12 02:18:22"
"41","Captain Atom","Justice League, Extreme Justice, Super Buddies, Living Assault Weapons, Monarchs Army, United States Air Force","https://www.superherodb.com/pictures2/portraits/10/100/1007.jpg","DC Comics","1",NULL,"2020-01-12 23:56:49"
"42","Maxima","Justice League Task Force, Extreme Justice","https://www.superherodb.com/pictures2/portraits/10/100/1168.jpg","DC Comics","0",NULL,NULL
"43","Hawkwoman III","No known group affiliation","https://www.superherodb.com/pictures2/portraits/10/100/1130.jpg","DC Comics","6",NULL,"2020-01-12 00:41:41"
"44","Ajax","Formerly Weapon X","https://www.superherodb.com/pictures2/portraits/10/100/10422.jpg","Marvel Comics","0",NULL,NULL
"45","Nick Fury","Secret Avengers, SHIELD (both incarnations); formerly Team Valkyrie, C.I.A., liaison to MI-5, O.S.S., Howling Commandos, U.S. Army","https://www.superherodb.com/pictures2/portraits/10/100/326.jpg","Marvel Comics","1",NULL,"2020-01-12 02:44:30"
"46","Brainiac","Lex Luthor","https://www.superherodb.com/pictures2/portraits/10/100/648.jpg","DC Comics","0",NULL,NULL
"47","Rhino","Sinister Syndicate","https://www.superherodb.com/pictures2/portraits/10/100/15.jpg","Marvel Comics","0",NULL,NULL
"48","Evil Deadpool","Evil Deadpool Corps","https://www.superherodb.com/pictures2/portraits/10/100/10090.jpg","Deadpool","0",NULL,"2020-01-13 01:27:07"
